,Country,Year,Value(Imports),Share,Growth
233,AMERI SAMOA,2021,0.96,0.0002,-68.77
234,ANDORRA,2021,0.01,0.0,-81.22
235,ANGOLA,2021,1879.74,0.4766,-48.49
236,ANGUILLA,2021,0.18,0.0,82.5
237,ANTARTICA,2021,0.67,0.0002,770.8
238,ANTIGUA,2021,0.14,0.0,-27.89
239,ARGENTINA,2021,2627.05,0.666,12.88
240,ARMENIA,2021,96.46,0.0245,6097.15
241,ARUBA,2021,0.81,0.0002,166.39
242,AUSTRALIA,2021,8247.3,2.0909,-15.69
243,AUSTRIA,2021,623.1,0.158,-1.05
244,AZERBAIJAN,2021,229.07,0.0581,-16.37
245,BAHAMAS,2021,35.84,0.0091,143.86
246,BAHARAIN IS,2021,547.49,0.1388,29.89
247,BANGLADESH PR,2021,1091.66,0.2768,-13.69
248,BARBADOS,2021,0.61,0.0002,-59.15
249,BELARUS,2021,287.65,0.0729,95.09
250,BELGIUM,2021,6940.68,1.7596,-21.83
251,BELIZE,2021,0.5,0.0001,-48.11
252,BENIN,2021,325.97,0.0826,-9.19
253,BERMUDA,2021,0.04,0.0,424550.48
254,BHUTAN,2021,433.0,0.1098,6.72
255,BOLIVIA,2021,1159.14,0.2939,37.03
256,BOSNIA-HRZGOVIN,2021,1.92,0.0005,-42.34
257,BOTSWANA,2021,461.72,0.1171,-37.94
258,BR VIRGN IS,2021,11.03,0.0028,28.71
259,BRAZIL,2021,3015.99,0.7646,-1.92
260,BRUNEI,2021,329.25,0.0835,-43.84
261,BULGARIA,2021,125.38,0.0318,-12.97
262,BURKINA FASO,2021,359.94,0.0913,-33.67
263,BURUNDI,2021,0.07,0.0,-98.18
264,C AFRI REP,2021,0.23,0.0001,-59.62
265,CAMBODIA,2021,39.35,0.01,-15.73
266,CAMEROON,2021,202.47,0.0513,-70.07
267,CANADA,2021,2686.43,0.6811,-30.77
268,CAPE VERDE IS,2021,2.04,0.0005,-0.37
269,CAYMAN IS,2021,86.45,0.0219,5920.62
270,CHAD,2021,50.0,0.0127,-81.53
271,CHILE,2021,670.6,0.17,-42.96
272,CHINA P RP,2021,65212.25,16.533,-0.07
273,CHRISTMAS IS.,2021,0.0,0.0,-86.96
274,COLOMBIA,2021,1403.61,0.3559,73.08
275,COMOROS,2021,12.48,0.0032,-36.49
276,CONGO D. REP.,2021,10.16,0.0026,-68.38
277,CONGO P REP,2021,245.94,0.0624,-58.14
278,COOK IS,2021,0.03,0.0,
279,COSTA RICA,2021,47.25,0.012,-2.99
280,COTE D' IVOIRE,2021,317.51,0.0805,-30.2
281,CROATIA,2021,42.81,0.0109,-25.14
282,CUBA,2021,69.44,0.0176,1864.74
283,CYPRUS,2021,23.98,0.0061,-67.78
284,CZECH REPUBLIC,2021,393.12,0.0997,31.29
285,DENMARK,2021,589.13,0.1494,-6.84
286,DJIBOUTI,2021,20.16,0.0051,3.21
287,DOMINIC REP,2021,256.94,0.0651,-28.85
288,DOMINICA,2021,0.25,0.0001,-0.66
289,ECUADOR,2021,333.25,0.0845,-7.84
290,EGYPT A RP,2021,1892.4,0.4798,-6.84
291,EL SALVADOR,2021,3.82,0.001,19.29
292,EQUTL GUINEA,2021,286.79,0.0727,-70.52
293,ERITREA,2021,0.0,0.0,1470.05
294,ESTONIA,2021,59.96,0.0152,10.91
295,ETHIOPIA,2021,32.64,0.0083,-66.88
296,FALKLAND IS,2021,0.0,,
297,FIJI IS,2021,1.33,0.0003,132.49
298,FINLAND,2021,713.2,0.1808,13.99
299,FR GUIANA,2021,1.29,0.0003,-55.61
300,FR POLYNESIA,2021,0.07,0.0,38.08
301,FRANCE,2021,4343.22,1.1011,-29.59
302,GABON,2021,405.46,0.1028,192.97
303,GAMBIA,2021,38.41,0.0097,-6.22
304,GEORGIA,2021,86.9,0.022,662.61
305,GERMANY,2021,13643.02,3.4589,-0.35
306,GHANA,2021,1374.96,0.3486,-22.47
307,GIBRALTAR,2021,0.46,0.0001,-54.68
308,GREECE,2021,143.02,0.0363,15.61
309,GREENLAND,2021,0.02,0.0,
310,GRENADA,2021,0.46,0.0001,-4.27
311,GUADELOUPE,2021,0.69,0.0002,245.79
312,GUAM,2021,0.03,0.0,1800.53
313,GUATEMALA,2021,20.75,0.0053,-9.58
314,GUINEA,2021,1631.02,0.4135,291.79
315,GUINEA BISSAU,2021,126.99,0.0322,1.97
316,GUYANA,2021,11.28,0.0029,62.16
317,HAITI,2021,13.47,0.0034,-3.35
318,HONDURAS,2021,12.56,0.0032,-34.96
319,HONG KONG,2021,15172.82,3.8467,-10.41
320,HUNGARY,2021,218.92,0.0555,16.65
321,ICELAND,2021,6.22,0.0016,-40.3
322,INDONESIA,2021,12470.17,3.1615,-17.21
323,IRAN,2021,331.48,0.084,-76.28
324,IRAQ,2021,14287.1,3.6222,-39.82
325,IRELAND,2021,414.46,0.1051,-31.4
326,ISRAEL,2021,1960.19,0.497,23.07
327,ITALY,2021,3862.05,0.9791,-14.0
328,JAMAICA,2021,2.23,0.0006,-24.67
329,JAPAN,2021,10924.74,2.7697,-12.14
330,JERSEY,2021,0.0,,
331,JORDAN,2021,1065.53,0.2701,0.08
332,KAZAKHSTAN,2021,804.97,0.2041,-64.31
333,KENYA,2021,130.27,0.033,45.36
334,KOREA DP RP,2021,1.41,0.0004,-59.26
335,KOREA RP,2021,12772.97,3.2383,-18.43
336,KUWAIT,2021,5214.15,1.3219,-45.54
337,KYRGHYZSTAN,2021,5.16,0.0013,289.15
338,LAO PD RP,2021,1.7,0.0004,-45.09
339,LATVIA,2021,48.88,0.0124,-81.59
340,LEBANON,2021,27.95,0.0071,-9.63
341,LESOTHO,2021,0.17,0.0,278.13
342,LIBERIA,2021,6.95,0.0018,-10.28
343,LIBYA,2021,70.52,0.0179,63.66
344,LIECHTENSTEIN,2021,0.34,0.0001,-19.31
345,LITHUANIA,2021,321.05,0.0814,22.49
346,LUXEMBOURG,2021,30.49,0.0077,-43.9
347,MACAO,2021,24.52,0.0062,381.75
348,MACEDONIA,2021,5.82,0.0015,-59.93
349,MADAGASCAR,2021,80.14,0.0203,-32.79
350,MALAWI,2021,7.07,0.0018,-77.73
351,MALAYSIA,2021,8373.05,2.1228,-14.41
352,MALDIVES,2021,24.49,0.0062,308.32
353,MALI,2021,13.97,0.0035,-63.31
354,MALTA,2021,23.71,0.006,-80.55
355,MARSHALL ISLAND,2021,1.66,0.0004,-54.01
356,MARTINIQUE,2021,0.82,0.0002,183.17
357,MAURITANIA,2021,5.49,0.0014,-48.63
358,MAURITIUS,2021,42.61,0.0108,52.74
359,MAYOTTE,2021,0.32,0.0001,-9.86
360,MEXICO,2021,2845.91,0.7215,-33.77
361,MOLDOVA,2021,1.0,0.0003,294.89
362,MONACO,2021,0.01,0.0,-99.99
363,MONGOLIA,2021,0.42,0.0001,-67.37
364,MONTENEGRO,2021,0.4,0.0001,142.86
365,MOROCCO,2021,1436.82,0.3643,50.84
366,MOZAMBIQUE,2021,631.6,0.1601,-24.37
367,MYANMAR,2021,526.79,0.1336,-3.74
368,N. MARIANA IS.,2021,0.29,0.0001,72821.69
369,NAMIBIA,2021,30.23,0.0077,5.89
370,NAURU RP,2021,0.05,0.0,-18.77
371,NEPAL,2021,673.16,0.1707,-5.4
372,NETHERLAND,2021,3317.72,0.8411,-2.16
373,NETHERLANDANTIL,2021,4.07,0.001,-82.11
374,NEW CALEDONIA,2021,1.81,0.0005,686.12
375,NEW ZEALAND,2021,381.53,0.0967,-26.89
376,NICARAGUA,2021,6.18,0.0016,71.96
377,NIGER,2021,4.12,0.001,356.57
378,NIGERIA,2021,5672.38,1.4381,-44.46
379,NORFOLK IS,2021,0.24,0.0001,-45.01
380,NORWAY,2021,673.66,0.1708,6.8
381,OMAN,2021,3087.93,0.7829,-15.85
382,PAKISTAN IR,2021,2.39,0.0006,-82.91
383,PALAU,2021,0.0,0.0,-77.23
384,PANAMA REPUBLIC,2021,32.95,0.0084,-56.55
385,PAPUA N GNA,2021,125.85,0.0319,125.96
386,PARAGUAY,2021,15.61,0.004,-38.23
387,PERU,2021,1520.88,0.3856,-3.44
388,PHILIPPINES,2021,572.47,0.1451,9.28
389,PITCAIRN IS.,2021,0.01,0.0,-60.26
390,POLAND,2021,706.35,0.1791,-16.86
391,PORTUGAL,2021,113.96,0.0289,-19.64
392,PUERTO RICO,2021,29.11,0.0074,-44.5
393,QATAR,2021,7930.15,2.0105,-18.13
394,REUNION,2021,18.42,0.0047,-0.56
395,ROMANIA,2021,193.97,0.0492,-25.78
396,RUSSIA,2021,5485.75,1.3908,-22.66
397,RWANDA,2021,6.67,0.0017,62.49
398,SAMOA,2021,0.45,0.0001,-84.85
399,SAN MARINO,2021,0.08,0.0,-45.65
400,SAO TOME,2021,0.08,0.0,
401,SAUDI ARAB,2021,16186.76,4.1038,-39.73
402,SENEGAL,2021,401.13,0.1017,-14.56
403,SERBIA,2021,7.31,0.0019,-36.48
404,SEYCHELLES,2021,3.64,0.0009,-22.69
405,SIERRA LEONE,2021,8.71,0.0022,-64.45
406,SINGAPORE,2021,13304.92,3.3732,-9.78
407,SLOVAK REP,2021,35.58,0.009,-35.11
408,SLOVENIA,2021,271.78,0.0689,9.4
409,SOLOMON IS,2021,33.86,0.0086,-13.11
410,SOMALIA,2021,5.67,0.0014,-62.3
411,SOUTH AFRICA,2021,7568.2,1.9187,8.59
412,SOUTH SUDAN,2021,1.58,0.0004,-78.43
413,SPAIN,2021,1511.92,0.3833,-6.28
414,SRI LANKA DSR,2021,642.94,0.163,-28.85
415,ST HELENA,2021,0.01,0.0,-28.49
416,ST KITT N A,2021,0.0,0.0,
417,ST LUCIA,2021,0.39,0.0001,-36.11
418,ST VINCENT,2021,12.17,0.0031,
419,STATE OF PALEST,2021,0.15,0.0,-79.99
420,SUDAN,2021,368.28,0.0934,-7.18
421,SURINAME,2021,34.14,0.0087,-38.01
422,SWAZILAND,2021,50.87,0.0129,623.22
423,SWEDEN,2021,1004.76,0.2547,-9.84
424,SWITZERLAND,2021,18230.95,4.622,7.88
425,SYRIA,2021,15.31,0.0039,-0.22
426,TAIWAN,2021,4036.75,1.0234,-0.23
427,TAJIKISTAN,2021,1.06,0.0003,264.32
428,TANZANIA REP,2021,934.88,0.237,-8.66
429,THAILAND,2021,5682.27,1.4406,-16.29
430,TIMOR LESTE,2021,0.04,0.0,
431,TOGO,2021,300.23,0.0761,-21.72
432,TOKELAU IS,2021,0.02,0.0,-75.68
