,Country,Year,Value(Imports),Share,Growth
1585,U ARAB EMTS,2019,29785.33,5.7939,37.01
1586,U K,2019,7561.93,1.471,57.32
1587,U S A,2019,35549.48,6.9152,33.59
1588,UGANDA,2019,23.06,0.0045,-58.97
1589,UKRAINE,2019,2341.03,0.4554,-0.63
1590,UNSPECIFIED,2019,89.74,0.0175,-99.02
1591,URUGUAY,2019,42.96,0.0084,72.0
1592,US MINOR OUTLYING ISLANDS,2019,0.08,0.0,-89.24
1593,UZBEKISTAN,2019,126.73,0.0247,24.65
1594,VANUATU REP,2019,0.0,,
1595,VATICAN CITY,2019,0.09,0.0,
1596,VENEZUELA,2019,7258.95,1.412,23.74
1597,VIETNAM SOC REP,2019,7192.23,1.3991,43.31
1598,VIRGIN IS US,2019,0.76,0.0001,168.08
1599,WALLIS F IS,2019,0.0,0.0,-99.45
1600,YEMEN REPUBLC,2019,11.77,0.0023,-92.31
1601,ZAMBIA,2019,510.5,0.0993,-53.38
1602,ZIMBABWE,2019,7.79,0.0015,-87.47
1603,AFGHANISTAN,2018,433.78,0.0932,NA
1604,ALBANIA,2018,38.86,0.0083,NA
1605,ALGERIA,2018,1260.98,0.2708,NA
1606,AMERI SAMOA,2018,0.3,0.0001,NA
1607,ANDORRA,2018,0.0,,NA
1608,ANGOLA,2018,4323.85,0.9287,NA
1609,ANGUILLA,2018,0.18,0.0,NA
1610,ANTARTICA,2018,0.05,0.0,NA
1611,ANTIGUA,2018,0.02,0.0,NA
1612,ARGENTINA,2018,2229.2,0.4788,NA
1613,ARMENIA,2018,0.65,0.0001,NA
1614,ARUBA,2018,0.4,0.0001,NA
1615,AUSTRALIA,2018,13993.75,3.0057,NA
1616,AUSTRIA,2018,973.33,0.2091,NA
1617,AZERBAIJAN,2018,592.61,0.1273,NA
1618,BAHAMAS,2018,40.26,0.0086,NA
1619,BAHARAIN IS,2018,431.12,0.0926,NA
1620,BANGLADESH PR,2018,685.65,0.1473,NA
1621,BARBADOS,2018,0.2,0.0,NA
1622,BELARUS,2018,207.81,0.0446,NA
1623,BELGIUM,2018,5993.41,1.2873,NA
1624,BELIZE,2018,1.36,0.0003,NA
1625,BENIN,2018,223.02,0.0479,NA
1626,BERMUDA,2018,0.0,0.0,NA
1627,BHUTAN,2018,377.99,0.0812,NA
1628,BOLIVIA,2018,667.25,0.1433,NA
1629,BOSNIA-HRZGOVIN,2018,8.75,0.0019,NA
1630,BOTSWANA,2018,1638.29,0.3519,NA
1631,BR VIRGN IS,2018,0.88,0.0002,NA
1632,BRAZIL,2018,5498.22,1.1809,NA
1633,BRUNEI,2018,434.83,0.0934,NA
1634,BULGARIA,2018,141.94,0.0305,NA
1635,BURKINA FASO,2018,632.57,0.1359,NA
1636,BURUNDI,2018,16.53,0.0036,NA
1637,C AFRI REP,2018,9.88,0.0021,NA
1638,CAMBODIA,2018,55.84,0.012,NA
1639,CAMEROON,2018,212.82,0.0457,NA
1640,CANADA,2018,4728.51,1.0156,NA
1641,CAPE VERDE IS,2018,2.82,0.0006,NA
1642,CAYMAN IS,2018,6.45,0.0014,NA
1643,CHAD,2018,149.47,0.0321,NA
1644,CHILE,2018,2092.15,0.4494,NA
1645,CHINA P RP,2018,76380.7,16.4055,NA
1646,CHRISTMAS IS.,2018,0.66,0.0001,NA
1647,COCOS IS,2018,0.0,0.0,NA
1648,COLOMBIA,2018,592.8,0.1273,NA
1649,COMOROS,2018,37.27,0.008,NA
1650,CONGO D. REP.,2018,225.42,0.0484,NA
1651,CONGO P REP,2018,198.81,0.0427,NA
1652,COOK IS,2018,0.01,0.0,NA
1653,COSTA RICA,2018,67.28,0.0145,NA
1654,COTE D' IVOIRE,2018,441.7,0.0949,NA
1655,CROATIA,2018,32.05,0.0069,NA
1656,CUBA,2018,2.06,0.0004,NA
1657,CYPRUS,2018,13.46,0.0029,NA
1658,CZECH REPUBLIC,2018,669.54,0.1438,NA
1659,DENMARK,2018,564.55,0.1213,NA
1660,DJIBOUTI,2018,5.44,0.0012,NA
1661,DOMINIC REP,2018,645.81,0.1387,NA
1662,DOMINICA,2018,0.28,0.0001,NA
1663,ECUADOR,2018,193.97,0.0417,NA
1664,EGYPT A RP,2018,1292.93,0.2777,NA
1665,EL SALVADOR,2018,9.02,0.0019,NA
1666,EQUTL GUINEA,2018,755.64,0.1623,NA
1667,ERITREA,2018,1.96,0.0004,NA
1668,ESTONIA,2018,60.54,0.013,NA
1669,ETHIOPIA,2018,47.45,0.0102,NA
1670,FAROE IS.,2018,0.01,0.0,NA
1671,FIJI IS,2018,0.49,0.0001,NA
1672,FINLAND,2018,1401.33,0.301,NA
1673,FR GUIANA,2018,0.85,0.0002,NA
1674,FR POLYNESIA,2018,0.07,0.0,NA
1675,FRANCE,2018,6524.16,1.4013,NA
1676,GABON,2018,395.39,0.0849,NA
1677,GAMBIA,2018,58.67,0.0126,NA
1678,GEORGIA,2018,27.04,0.0058,NA
1679,GERMANY,2018,13295.71,2.8557,NA
1680,GHANA,2018,2710.05,0.5821,NA
1681,GIBRALTAR,2018,0.01,0.0,NA
1682,GREECE,2018,96.11,0.0206,NA
1683,GREENLAND,2018,0.01,0.0,NA
1684,GRENADA,2018,0.27,0.0001,NA
1685,GUADELOUPE,2018,0.01,0.0,NA
1686,GUAM,2018,0.0,,NA
1687,GUATEMALA,2018,15.97,0.0034,NA
1688,GUERNSEY,2018,0.23,0.0001,NA
1689,GUINEA,2018,514.63,0.1105,NA
1690,GUINEA BISSAU,2018,256.2,0.055,NA
1691,GUYANA,2018,6.59,0.0014,NA
1692,HAITI,2018,8.26,0.0018,NA
1693,HONDURAS,2018,13.32,0.0029,NA
1694,HONG KONG,2018,10675.98,2.293,NA
1695,HUNGARY,2018,270.84,0.0582,NA
1696,ICELAND,2018,7.4,0.0016,NA
1697,INDONESIA,2018,16438.8,3.5308,NA
1698,IRAN,2018,11111.52,2.3866,NA
1699,IRAQ,2018,17615.81,3.7836,NA
1700,IRELAND,2018,795.01,0.1708,NA
1701,ISRAEL,2018,2066.51,0.4439,NA
1702,ITALY,2018,4706.89,1.011,NA
1703,JAMAICA,2018,4.35,0.0009,NA
1704,JAPAN,2018,10973.35,2.3569,NA
1705,JERSEY,2018,0.0,,NA
1706,JORDAN,2018,984.98,0.2116,NA
1707,KAZAKHSTAN,2018,907.43,0.1949,NA
1708,KENYA,2018,72.57,0.0156,NA
1709,KIRIBATI REP,2018,0.0,,NA
1710,KOREA DP RP,2018,25.08,0.0054,NA
1711,KOREA RP,2018,16361.77,3.5143,NA
1712,KUWAIT,2018,7165.69,1.5391,NA
1713,KYRGHYZSTAN,2018,30.94,0.0066,NA
1714,LAO PD RP,2018,168.63,0.0362,NA
1715,LATVIA,2018,52.63,0.0113,NA
1716,LEBANON,2018,38.47,0.0083,NA
1717,LESOTHO,2018,89.56,0.0192,NA
1718,LIBERIA,2018,36.76,0.0079,NA
1719,LIBYA,2018,100.64,0.0216,NA
1720,LIECHTENSTEIN,2018,1.6,0.0003,NA
1721,LITHUANIA,2018,189.38,0.0407,NA
1722,LUXEMBOURG,2018,53.24,0.0114,NA
1723,MACAO,2018,8.3,0.0018,NA
1724,MACEDONIA,2018,46.61,0.01,NA
1725,MADAGASCAR,2018,167.67,0.036,NA
1726,MALAWI,2018,16.45,0.0035,NA
1727,MALAYSIA,2018,9011.58,1.9356,NA
1728,MALDIVES,2018,5.68,0.0012,NA
1729,MALI,2018,114.14,0.0245,NA
1730,MALTA,2018,15.95,0.0034,NA
1731,MARSHALL ISLAND,2018,0.11,0.0,NA
1732,MARTINIQUE,2018,0.0,,NA
1733,MAURITANIA,2018,5.45,0.0012,NA
1734,MAURITIUS,2018,20.69,0.0044,NA
1735,MAYOTTE,2018,0.0,0.0,NA
1736,MEXICO,2018,3930.26,0.8442,NA
1737,MOLDOVA,2018,1.57,0.0003,NA
1738,MONACO,2018,1.07,0.0002,NA
1739,MONGOLIA,2018,1.72,0.0004,NA
1740,MONTENEGRO,2018,0.01,0.0,NA
1741,MONTSERRAT,2018,0.0,0.0,NA
1742,MOROCCO,2018,779.63,0.1675,NA
1743,MOZAMBIQUE,2018,931.75,0.2001,NA
1744,MYANMAR,2018,639.64,0.1374,NA
1745,N. MARIANA IS.,2018,0.17,0.0,NA
1746,NAMIBIA,2018,62.2,0.0134,NA
1747,NAURU RP,2018,0.01,0.0,NA
1748,NEPAL,2018,438.38,0.0942,NA
1749,NETHERLAND,2018,2512.63,0.5397,NA
1750,NETHERLANDANTIL,2018,8.19,0.0018,NA
1751,NEW CALEDONIA,2018,9.65,0.0021,NA
1752,NEW ZEALAND,2018,643.71,0.1383,NA
1753,NICARAGUA,2018,4.17,0.0009,NA
1754,NIGER,2018,20.24,0.0043,NA
1755,NIGERIA,2018,9501.33,2.0407,NA
1756,NIUE IS,2018,0.01,0.0,NA
1757,NORFOLK IS,2018,0.46,0.0001,NA
1758,NORWAY,2018,842.08,0.1809,NA
1759,OMAN,2018,4264.29,0.9159,NA
1760,PAKISTAN IR,2018,488.56,0.1049,NA
1761,PALAU,2018,0.78,0.0002,NA
1762,PANAMA REPUBLIC,2018,43.32,0.0093,NA
1763,PAPUA N GNA,2018,196.19,0.0421,NA
1764,PARAGUAY,2018,166.9,0.0358,NA
1765,PERU,2018,2376.86,0.5105,NA
1766,PHILIPPINES,2018,764.36,0.1642,NA
1767,PITCAIRN IS.,2018,0.22,0.0,NA
1768,POLAND,2018,766.99,0.1647,NA
1769,PORTUGAL,2018,190.15,0.0408,NA
1770,PUERTO RICO,2018,74.87,0.0161,NA
1771,QATAR,2018,8409.02,1.8061,NA
1772,REUNION,2018,18.05,0.0039,NA
1773,ROMANIA,2018,411.72,0.0884,NA
1774,RUSSIA,2018,8573.46,1.8415,NA
1775,RWANDA,2018,5.34,0.0011,NA
1776,SAMOA,2018,0.26,0.0001,NA
1777,SAN MARINO,2018,0.64,0.0001,NA
1778,SAO TOME,2018,0.0,,NA
1779,SAUDI ARAB,2018,22069.96,4.7403,NA
1780,SENEGAL,2018,564.94,0.1213,NA
1781,SERBIA,2018,24.12,0.0052,NA
1782,SEYCHELLES,2018,1.37,0.0003,NA
1783,SIERRA LEONE,2018,24.17,0.0052,NA
1784,SINGAPORE,2018,7466.99,1.6038,NA
1785,SLOVAK REP,2018,95.2,0.0204,NA
1786,SLOVENIA,2018,112.08,0.0241,NA
1787,SOLOMON IS,2018,67.73,0.0145,NA
1788,SOMALIA,2018,3.55,0.0008,NA
1789,SOUTH AFRICA,2018,6834.7,1.468,NA
1790,SOUTH SUDAN,2018,70.56,0.0152,NA
1791,SPAIN,2018,1663.37,0.3573,NA
1792,SRI LANKA DSR,2018,772.63,0.1659,NA
1793,ST HELENA,2018,0.03,0.0,NA
1794,ST KITT N A,2018,0.0,0.0,NA
1795,ST LUCIA,2018,0.32,0.0001,NA
1796,ST VINCENT,2018,0.0,,NA
1797,STATE OF PALEST,2018,0.0,,NA
1798,SUDAN,2018,452.07,0.0971,NA
1799,SURINAME,2018,92.76,0.0199,NA
1800,SWAZILAND,2018,8.92,0.0019,NA
1801,SWEDEN,2018,1464.47,0.3145,NA
1802,SWITZERLAND,2018,18923.05,4.0644,NA
1803,SYRIA,2018,25.66,0.0055,NA
1804,TAIWAN,2018,3926.25,0.8433,NA
1805,TAJIKISTAN,2018,50.29,0.0108,NA
1806,TANZANIA REP,2018,1029.71,0.2212,NA
1807,THAILAND,2018,7134.46,1.5324,NA
1808,TIMOR LESTE,2018,0.1,0.0,NA
1809,TOGO,2018,163.8,0.0352,NA
1810,TOKELAU IS,2018,0.05,0.0,NA
1811,TONGA,2018,0.0,,NA
1812,TRINIDAD,2018,42.48,0.0091,NA
1813,TUNISIA,2018,140.25,0.0301,NA
1814,TURKEY,2018,2132.2,0.458,NA
1815,TURKMENISTAN,2018,26.15,0.0056,NA
1816,TURKS C IS,2018,0.02,0.0,NA
1817,TUVALU,2018,0.0,0.0,NA
1818,U ARAB EMTS,2018,21739.11,4.6692,NA
1819,U K,2018,4806.75,1.0324,NA
1820,U S A,2018,26611.03,5.7157,NA
1821,UGANDA,2018,56.21,0.0121,NA
1822,UKRAINE,2018,2355.97,0.506,NA
1823,UNSPECIFIED,2018,9194.62,1.9749,NA
1824,URUGUAY,2018,24.98,0.0054,NA
1825,US MINOR OUTLYING ISLANDS,2018,0.74,0.0002,NA
1826,UZBEKISTAN,2018,101.67,0.0218,NA
1827,VANUATU REP,2018,0.0,0.0,NA
1828,VATICAN CITY,2018,0.0,,NA
1829,VENEZUELA,2018,5866.37,1.26,NA
1830,VIETNAM SOC REP,2018,5018.55,1.0779,NA
1831,VIRGIN IS US,2018,0.28,0.0001,NA
1832,WALLIS F IS,2018,0.01,0.0,NA
1833,YEMEN REPUBLC,2018,153.05,0.0329,NA
1834,ZAMBIA,2018,1094.98,0.2352,NA
1835,ZIMBABWE,2018,62.2,0.0134,NA
