,Country,Year,Value(Exports),Share,Growth
0,AFGHANISTAN,2020,997.58,0.3183,39.43
1,ALBANIA,2020,44.12,0.0141,18.97
2,ALGERIA,2020,611.02,0.195,-35.02
3,AMERI SAMOA,2020,0.13,0.0,401.64
4,ANDORRA,2020,0.08,0.0,-76.41
5,ANGOLA,2020,285.1,0.091,0.97
6,ANGUILLA,2020,0.04,0.0,-71.59
7,ANTARTICA,2020,0.02,0.0,566.86
8,ANTIGUA,2020,2.19,0.0007,-19.19
9,ARGENTINA,2020,763.24,0.2436,35.58
10,ARMENIA,2020,40.49,0.0129,56.08
11,ARUBA,2020,9.87,0.0031,2.43
12,AUSTRALIA,2020,2852.14,0.9102,-18.98
13,AUSTRIA,2020,455.59,0.1454,-5.71
14,AZERBAIJAN,2020,53.21,0.017,22.42
15,BAHAMAS,2020,60.48,0.0193,898.73
16,BAHARAIN IS,2020,559.09,0.1784,-24.66
17,BANGLADESH PR,2020,8200.75,2.617,-10.96
18,BARBADOS,2020,12.76,0.0041,2.65
19,BELARUS,2020,55.77,0.0178,0.1
20,BELGIUM,2020,5809.88,1.8541,-13.67
21,BELIZE,2020,14.27,0.0046,-15.97
22,BENIN,2020,326.62,0.1042,-23.49
23,BERMUDA,2020,2.48,0.0008,-21.44
24,BHUTAN,2020,738.6,0.2357,12.36
25,BOLIVIA,2020,113.46,0.0362,8.36
26,BOSNIA-HRZGOVIN,2020,15.32,0.0049,-10.32
27,BOTSWANA,2020,178.74,0.057,0.24
28,BR VIRGN IS,2020,0.49,0.0002,-95.4
29,BRAZIL,2020,3967.39,1.2661,4.39
30,BRUNEI,2020,57.62,0.0184,2.54
31,BULGARIA,2020,158.9,0.0507,-25.2
32,BURKINA FASO,2020,153.94,0.0491,-15.15
33,BURUNDI,2020,58.47,0.0187,20.92
34,C AFRI REP,2020,55.63,0.0178,107.6
35,CAMBODIA,2020,188.12,0.06,-4.01
36,CAMEROON,2020,228.45,0.0729,28.16
37,CANADA,2020,2851.79,0.9101,0.01
38,CAPE VERDE IS,2020,2.17,0.0007,36.23
39,CAYMAN IS,2020,6.58,0.0021,50.66
40,CHAD,2020,58.69,0.0187,56.67
41,CHILE,2020,793.43,0.2532,-19.84
42,CHINA P RP,2020,16612.75,5.3015,-0.83
43,CHRISTMAS IS.,2020,0.0,0.0,
44,COLOMBIA,2020,1043.41,0.333,-6.58
45,COMOROS,2020,18.88,0.006,-2.13
46,CONGO D. REP.,2020,352.77,0.1126,16.45
47,CONGO P REP,2020,112.91,0.036,-15.03
48,COOK IS,2020,0.32,0.0001,18.73
49,COSTA RICA,2020,126.63,0.0404,-7.0
50,COTE D' IVOIRE,2020,414.67,0.1323,-7.57
51,CROATIA,2020,146.97,0.0469,-4.44
52,CUBA,2020,47.51,0.0152,35.73
53,CYPRUS,2020,443.28,0.1415,527.41
54,CZECH REPUBLIC,2020,496.35,0.1584,15.66
55,DENMARK,2020,733.96,0.2342,-1.69
56,DJIBOUTI,2020,316.01,0.1008,-60.03
57,DOMINIC REP,2020,213.32,0.0681,-1.15
58,DOMINICA,2020,2.17,0.0007,67.58
59,ECUADOR,2020,253.0,0.0807,-15.09
60,EGYPT A RP,2020,2504.23,0.7992,-13.24
61,EL SALVADOR,2020,79.34,0.0253,0.86
62,EQUTL GUINEA,2020,10.92,0.0035,-8.13
63,ERITREA,2020,5.92,0.0019,-34.5
64,ESTONIA,2020,65.44,0.0209,1.75
65,ETHIOPIA,2020,798.31,0.2548,4.21
66,FALKLAND IS,2020,0.08,0.0,5669.0
67,FAROE IS.,2020,0.91,0.0003,-69.26
68,FIJI IS,2020,55.7,0.0178,-8.38
69,FINLAND,2020,268.63,0.0857,4.88
70,FR GUIANA,2020,0.98,0.0003,-48.43
71,FR POLYNESIA,2020,6.04,0.0019,9.87
72,FRANCE,2020,5097.81,1.6268,-2.58
73,GABON,2020,45.55,0.0145,-17.44
74,GAMBIA,2020,132.33,0.0422,-15.51
75,GEORGIA,2020,82.77,0.0264,-25.02
76,GERMANY,2020,8290.9,2.6458,-6.87
77,GHANA,2020,617.42,0.197,-13.93
78,GIBRALTAR,2020,629.14,0.2008,9.39
79,GREECE,2020,445.59,0.1422,-11.48
80,GREENLAND,2020,0.03,0.0,693.03
81,GRENADA,2020,2.79,0.0009,-25.98
82,GUADELOUPE,2020,7.8,0.0025,128.06
83,GUAM,2020,0.91,0.0003,38.21
84,GUATEMALA,2020,291.32,0.093,-4.6
85,GUERNSEY,2020,0.0,0.0,109.73
86,GUINEA,2020,354.82,0.1132,-12.36
87,GUINEA BISSAU,2020,8.99,0.0029,-16.42
88,GUYANA,2020,25.21,0.008,-15.01
89,HAITI,2020,65.51,0.0209,-17.44
90,HEARD MACDONALD,2020,0.0,,
91,HONDURAS,2020,185.34,0.0591,11.17
92,HONG KONG,2020,10967.12,3.4998,-15.65
93,HUNGARY,2020,423.94,0.1353,-7.45
94,ICELAND,2020,10.05,0.0032,-67.36
95,INDONESIA,2020,4129.33,1.3178,-21.73
96,IRAN,2020,3373.62,1.0766,-3.91
97,IRAQ,2020,1878.17,0.5994,5.0
98,IRELAND,2020,533.69,0.1703,0.59
99,ISRAEL,2020,3363.1,1.0732,-9.55
100,ITALY,2020,4970.81,1.5863,-11.13
101,JAMAICA,2020,56.76,0.0181,2.41
102,JAPAN,2020,4520.25,1.4425,-7.02
103,JERSEY,2020,0.0,0.0,
104,JORDAN,2020,960.66,0.3066,65.97
105,KAZAKHSTAN,2020,202.59,0.0646,41.54
106,KENYA,2020,2108.58,0.6729,1.77
107,KIRIBATI REP,2020,0.39,0.0001,4.49
108,KOREA DP RP,2020,8.97,0.0029,-66.75
109,KOREA RP,2020,4845.15,1.5462,2.98
110,KUWAIT,2020,1286.56,0.4106,-3.55
111,KYRGHYZSTAN,2020,29.13,0.0093,-2.96
112,LAO PD RP,2020,25.08,0.008,-36.31
113,LATVIA,2020,119.25,0.0381,3.23
114,LEBANON,2020,203.97,0.0651,-24.08
115,LESOTHO,2020,40.78,0.013,33.88
116,LIBERIA,2020,219.52,0.0701,22.77
117,LIBYA,2020,184.4,0.0588,17.63
118,LIECHTENSTEIN,2020,4.36,0.0014,28.22
119,LITHUANIA,2020,110.76,0.0353,-13.04
120,LUXEMBOURG,2020,20.34,0.0065,-32.35
121,MACAO,2020,6.28,0.002,495.18
122,MACEDONIA,2020,22.61,0.0072,15.68
123,MADAGASCAR,2020,301.73,0.0963,53.65
124,MALAWI,2020,185.09,0.0591,-8.17
125,MALAYSIA,2020,6364.66,2.0311,-1.11
126,MALDIVES,2020,226.57,0.0723,1.59
127,MALI,2020,146.14,0.0466,11.82
128,MALTA,2020,208.2,0.0664,-9.29
129,MARSHALL ISLAND,2020,32.53,0.0104,10060.82
130,MARTINIQUE,2020,3.81,0.0012,6.47
131,MAURITANIA,2020,83.83,0.0268,-27.48
132,MAURITIUS,2020,662.13,0.2113,-42.96
133,MAYOTTE,2020,3.13,0.001,12.31
134,MEXICO,2020,3623.71,1.1564,-5.67
135,MICRONESIA,2020,0.53,0.0002,56.67
136,MOLDOVA,2020,8.71,0.0028,0.9
137,MONACO,2020,1.96,0.0006,-23.09
138,MONGOLIA,2020,16.27,0.0052,-28.67
139,MONTENEGRO,2020,19.96,0.0064,-48.74
140,MONTSERRAT,2020,0.06,0.0,3.23
141,MOROCCO,2020,799.45,0.2551,17.56
142,MOZAMBIQUE,2020,2174.31,0.6939,102.58
143,MYANMAR,2020,973.89,0.3108,-19.22
144,N. MARIANA IS.,2020,0.15,0.0,-44.98
145,NAMIBIA,2020,66.18,0.0211,-19.66
146,NAURU RP,2020,0.14,0.0,-73.63
147,NEPAL,2020,7160.35,2.285,-7.8
148,NETHERLAND,2020,8366.11,2.6698,-5.07
149,NETHERLANDANTIL,2020,30.0,0.0096,-1.87
150,NEW CALEDONIA,2020,15.2,0.0049,72.24
151,NEW ZEALAND,2020,378.55,0.1208,-0.35
152,NICARAGUA,2020,65.52,0.0209,21.63
153,NIGER,2020,73.6,0.0235,-22.4
154,NIGERIA,2020,3609.91,1.152,20.12
155,NIUE IS,2020,0.08,0.0,
156,NORFOLK IS,2020,0.33,0.0001,75.06
157,NORWAY,2020,421.61,0.1345,34.68
158,OMAN,2020,2261.81,0.7218,0.69
159,PAKISTAN IR,2020,816.62,0.2606,-60.48
160,PALAU,2020,0.05,0.0,-39.56
161,PANAMA C Z,2020,0.01,0.0,
162,PANAMA REPUBLIC,2020,238.52,0.0761,4.96
163,PAPUA N GNA,2020,56.02,0.0179,12.66
164,PARAGUAY,2020,126.96,0.0405,-21.0
165,PERU,2020,764.0,0.2438,5.96
166,PHILIPPINES,2020,1526.03,0.487,-12.48
167,PITCAIRN IS.,2020,0.02,0.0,88.58
168,POLAND,2020,1548.11,0.494,-1.57
169,PORTUGAL,2020,744.79,0.2377,0.2
170,PUERTO RICO,2020,134.44,0.0429,-2.88
171,QATAR,2020,1268.35,0.4048,-21.28
172,REUNION,2020,40.15,0.0128,-14.98
173,ROMANIA,2020,366.89,0.1171,-14.74
174,RUSSIA,2020,3017.67,0.963,26.29
175,RWANDA,2020,124.05,0.0396,-14.39
176,SAHARWI A.DM RP,2020,0.0,0.0,28.49
177,SAMOA,2020,4.25,0.0014,64.35
178,SAN MARINO,2020,0.25,0.0001,62.64
179,SAO TOME,2020,1.5,0.0005,26.59
180,SAUDI ARAB,2020,6236.86,1.9903,12.14
181,SENEGAL,2020,477.1,0.1523,-25.36
182,SERBIA,2020,83.68,0.0267,15.69
183,SEYCHELLES,2020,66.64,0.0213,-21.12
184,SIERRA LEONE,2020,115.37,0.0368,2.76
185,SINGAPORE,2020,8922.66,2.8474,-22.9
186,SINT MAARTEN (DUTCH PART),2020,0.08,0.0,
187,SLOVAK REP,2020,138.42,0.0442,-5.17
188,SLOVENIA,2020,332.55,0.1061,5.89
189,SOLOMON IS,2020,2.04,0.0007,-20.62
190,SOMALIA,2020,583.87,0.1863,8.68
191,SOUTH AFRICA,2020,4108.17,1.311,1.01
192,SOUTH SUDAN,2020,20.05,0.0064,90.36
193,SPAIN,2020,3945.44,1.2591,-5.67
194,SRI LANKA DSR,2020,3800.91,1.2129,-19.3
195,ST HELENA,2020,0.33,0.0001,1926.12
196,ST KITT N A,2020,2.56,0.0008,7.84
197,ST LUCIA,2020,3.24,0.001,-19.21
198,ST PIERRE,2020,0.0,,
199,ST VINCENT,2020,0.69,0.0002,-6.4
200,STATE OF PALEST,2020,1.09,0.0003,-26.91
201,SUDAN,2020,1096.88,0.35,19.11
202,SURINAME,2020,31.12,0.0099,37.84
203,SVALLBARD AND J,2020,0.0,0.0,
204,SWAZILAND,2020,18.57,0.0059,-3.26
205,SWEDEN,2020,748.42,0.2388,-5.53
206,SWITZERLAND,2020,1200.08,0.383,1.13
207,SYRIA,2020,159.33,0.0508,3.07
208,TAIWAN,2020,1674.52,0.5344,-35.77
209,TAJIKISTAN,2020,23.5,0.0075,5.49
210,TANZANIA REP,2020,1740.08,0.5553,2.11
211,THAILAND,2020,4299.3,1.372,-3.2
212,TIMOR LESTE,2020,6.33,0.002,20.19
213,TOGO,2020,1040.6,0.3321,49.92
214,TOKELAU IS,2020,0.0,0.0,-62.65
215,TONGA,2020,0.66,0.0002,90.49
216,TRINIDAD,2020,85.11,0.0272,1.62
217,TUNISIA,2020,245.02,0.0782,-19.45
218,TURKEY,2020,4969.47,1.5859,-8.86
219,TURKMENISTAN,2020,33.9,0.0108,-25.74
220,TURKS C IS,2020,0.64,0.0002,143.31
221,TUVALU,2020,0.0,0.0,-9.07
222,U ARAB EMTS,2020,28853.59,9.2078,-4.23
223,U K,2020,8737.85,2.7884,-6.14
224,U S A,2020,53088.77,16.9417,1.3
225,UGANDA,2020,621.52,0.1983,7.14
226,UKRAINE,2020,463.81,0.148,18.68
227,UNION OF SERBIA & MONTENEGRO,2020,0.0,0.0,
228,UNSPECIFIED,2020,2546.99,0.8128,-12.39
229,URUGUAY,2020,147.69,0.0471,-18.4
230,US MINOR OUTLYING ISLANDS,2020,0.4,0.0001,-42.09
231,UZBEKISTAN,2020,180.21,0.0575,-10.52
232,VANUATU REP,2020,2.42,0.0008,22.47
233,VATICAN CITY,2020,0.03,0.0,16.6
234,VENEZUELA,2020,339.71,0.1084,106.17
235,VIETNAM SOC REP,2020,5059.9,1.6147,-22.24
236,VIRGIN IS US,2020,81.4,0.026,91.52
237,WALLIS F IS,2020,0.02,0.0,
238,YEMEN REPUBLC,2020,721.25,0.2302,-2.71
239,ZAMBIA,2020,247.64,0.079,-22.38
240,ZIMBABWE,2020,161.13,0.0514,-11.33
241,AFGHANISTAN,2021,825.78,0.283,-17.22
242,ALBANIA,2021,46.75,0.016,5.97
243,ALGERIA,2021,594.74,0.2038,-2.66
244,AMERI SAMOA,2021,0.58,0.0002,348.37
245,ANDORRA,2021,0.02,0.0,-74.08
246,ANGOLA,2021,259.6,0.089,-8.94
247,ANGUILLA,2021,0.05,0.0,13.76
248,ANTARTICA,2021,1.05,0.0004,4764.81
249,ANTIGUA,2021,1.62,0.0006,-26.15
250,ARGENTINA,2021,687.84,0.2357,-9.88
251,ARMENIA,2021,69.83,0.0239,72.48
252,ARUBA,2021,2.79,0.001,-71.68
253,AUSTRALIA,2021,4043.88,1.3858,41.78
254,AUSTRIA,2021,453.07,0.1553,-0.55
255,AZERBAIJAN,2021,50.81,0.0174,-4.5
256,BAHAMAS,2021,4.56,0.0016,-92.45
257,BAHARAIN IS,2021,528.25,0.181,-5.52
258,BANGLADESH PR,2021,9691.56,3.3212,18.18
259,BARBADOS,2021,11.1,0.0038,-13.0
260,BELARUS,2021,62.3,0.0214,11.72
261,BELGIUM,2021,5235.59,1.7942,-9.88
262,BELIZE,2021,9.43,0.0032,-33.9
263,BENIN,2021,555.2,0.1903,69.99
264,BERMUDA,2021,4.5,0.0015,81.72
265,BHUTAN,2021,701.02,0.2402,-5.09
266,BOLIVIA,2021,94.33,0.0323,-16.86
267,BOSNIA-HRZGOVIN,2021,15.09,0.0052,-1.51
268,BOTSWANA,2021,172.69,0.0592,-3.39
269,BR VIRGN IS,2021,0.25,0.0001,-48.25
270,BRAZIL,2021,4244.94,1.4547,7.0
271,BRUNEI,2021,62.91,0.0216,9.18
272,BULGARIA,2021,170.35,0.0584,7.21
273,BURKINA FASO,2021,207.87,0.0712,35.03
274,BURUNDI,2021,64.02,0.0219,9.5
275,C AFRI REP,2021,23.71,0.0081,-57.37
276,CAMBODIA,2021,168.86,0.0579,-10.24
277,CAMEROON,2021,279.07,0.0956,22.16
278,CANADA,2021,2960.77,1.0146,3.82
279,CAPE VERDE IS,2021,3.31,0.0011,52.22
280,CAYMAN IS,2021,4.32,0.0015,-34.36
281,CHAD,2021,59.23,0.0203,0.92
282,CHILE,2021,805.0,0.2759,1.46
283,CHINA P RP,2021,21187.15,7.2606,27.54
284,CHRISTMAS IS.,2021,0.0,,
285,COCOS IS,2021,0.0,0.0,
286,COLOMBIA,2021,864.99,0.2964,-17.1
287,COMOROS,2021,18.26,0.0063,-3.27
288,CONGO D. REP.,2021,430.33,0.1475,21.98
289,CONGO P REP,2021,109.84,0.0376,-2.72
290,COOK IS,2021,0.07,0.0,-77.48
291,COSTA RICA,2021,113.88,0.039,-10.06
292,COTE D' IVOIRE,2021,585.96,0.2008,41.31
293,CROATIA,2021,141.91,0.0486,-3.44
294,CUBA,2021,20.33,0.007,-57.2
295,CYPRUS,2021,90.11,0.0309,-79.67
296,CZECH REPUBLIC,2021,485.48,0.1664,-2.19
297,DENMARK,2021,755.25,0.2588,2.9
298,DJIBOUTI,2021,347.06,0.1189,9.83
299,DOMINIC REP,2021,209.06,0.0716,-2.0
300,DOMINICA,2021,1.87,0.0006,-14.03
301,ECUADOR,2021,207.89,0.0712,-17.83
302,EGYPT A RP,2021,2264.37,0.776,-9.58
303,EL SALVADOR,2021,84.12,0.0288,6.03
304,EQUTL GUINEA,2021,14.19,0.0049,29.97
305,ERITREA,2021,9.46,0.0032,59.84
306,ESTONIA,2021,51.83,0.0178,-20.8
307,ETHIOPIA,2021,684.32,0.2345,-14.28
308,FALKLAND IS,2021,0.0,,
309,FAROE IS.,2021,0.27,0.0001,-70.46
310,FIJI IS,2021,46.9,0.0161,-15.79
311,FINLAND,2021,284.36,0.0974,5.85
312,FR GUIANA,2021,1.78,0.0006,81.6
313,FR POLYNESIA,2021,5.67,0.0019,-6.26
314,FRANCE,2021,4782.18,1.6388,-6.19
315,GABON,2021,58.7,0.0201,28.89
316,GAMBIA,2021,129.59,0.0444,-2.07
317,GEORGIA,2021,99.32,0.034,19.99
318,GERMANY,2021,8124.93,2.7843,-2.0
319,GHANA,2021,862.5,0.2956,39.7
320,GIBRALTAR,2021,203.38,0.0697,-67.67
321,GREECE,2021,546.31,0.1872,22.6
322,GREENLAND,2021,1.1,0.0004,3963.22
323,GRENADA,2021,2.87,0.001,2.78
324,GUADELOUPE,2021,2.66,0.0009,-65.87
325,GUAM,2021,0.74,0.0003,-18.32
326,GUATEMALA,2021,331.35,0.1136,13.74
327,GUERNSEY,2021,0.0,0.0,-91.79
328,GUINEA,2021,501.77,0.172,41.41
329,GUINEA BISSAU,2021,18.11,0.0062,101.45
330,GUYANA,2021,35.69,0.0122,41.56
331,HAITI,2021,107.63,0.0369,64.3
332,HONDURAS,2021,163.38,0.056,-11.85
333,HONG KONG,2021,10162.4,3.4826,-7.34
334,HUNGARY,2021,495.26,0.1697,16.82
335,ICELAND,2021,10.91,0.0037,8.58
336,INDONESIA,2021,5026.21,1.7224,21.72
337,IRAN,2021,1774.69,0.6082,-47.4
338,IRAQ,2021,1498.99,0.5137,-20.19
339,IRELAND,2021,563.22,0.193,5.53
340,ISRAEL,2021,2701.49,0.9258,-19.67
341,ITALY,2021,4735.74,1.6229,-4.73
342,JAMAICA,2021,64.06,0.022,12.87
343,JAPAN,2021,4434.59,1.5197,-1.9
344,JERSEY,2021,0.0,,
345,JORDAN,2021,630.89,0.2162,-34.33
346,KAZAKHSTAN,2021,225.96,0.0774,11.54
347,KENYA,2021,1895.84,0.6497,-10.09
348,KIRIBATI REP,2021,0.71,0.0002,84.12
349,KOREA DP RP,2021,2.79,0.001,-68.86
350,KOREA RP,2021,4684.62,1.6054,-3.31
351,KUWAIT,2021,1054.2,0.3613,-18.06
352,KYRGHYZSTAN,2021,38.71,0.0133,32.88
353,LAO PD RP,2021,27.34,0.0094,8.99
354,LATVIA,2021,103.48,0.0355,-13.22
355,LEBANON,2021,190.38,0.0652,-6.67
356,LESOTHO,2021,39.89,0.0137,-2.18
357,LIBERIA,2021,225.65,0.0773,2.79
358,LIBYA,2021,153.91,0.0527,-16.53
359,LIECHTENSTEIN,2021,3.76,0.0013,-13.79
360,LITHUANIA,2021,163.66,0.0561,47.76
361,LUXEMBOURG,2021,12.6,0.0043,-38.08
362,MACAO,2021,8.96,0.0031,42.6
363,MACEDONIA,2021,23.2,0.0079,2.61
364,MADAGASCAR,2021,324.22,0.1111,7.45
365,MALAWI,2021,150.96,0.0517,-18.44
366,MALAYSIA,2021,6057.68,2.0759,-4.82
367,MALDIVES,2021,195.88,0.0671,-13.55
368,MALI,2021,186.97,0.0641,27.94
369,MALTA,2021,317.04,0.1086,52.28
370,MARSHALL ISLAND,2021,0.62,0.0002,-98.09
371,MARTINIQUE,2021,4.25,0.0015,11.66
372,MAURITANIA,2021,88.92,0.0305,6.06
373,MAURITIUS,2021,422.91,0.1449,-36.13
374,MAYOTTE,2021,5.65,0.0019,80.33
375,MEXICO,2021,3086.67,1.0578,-14.82
376,MICRONESIA,2021,0.72,0.0002,35.4
377,MOLDOVA,2021,11.58,0.004,33.04
378,MONACO,2021,1.93,0.0007,-1.86
379,MONGOLIA,2021,18.98,0.0065,16.65
380,MONTENEGRO,2021,19.98,0.0068,0.09
381,MONTSERRAT,2021,0.07,0.0,14.37
382,MOROCCO,2021,507.62,0.174,-36.5
383,MOZAMBIQUE,2021,1231.34,0.422,-43.37
384,MYANMAR,2021,772.56,0.2648,-20.67
385,N. MARIANA IS.,2021,0.29,0.0001,97.34
386,NAMIBIA,2021,51.01,0.0175,-22.92
387,NAURU RP,2021,0.1,0.0,-31.03
388,NEPAL,2021,6838.46,2.3435,-4.5
389,NETHERLAND,2021,6472.82,2.2182,-22.63
390,NETHERLANDANTIL,2021,19.22,0.0066,-35.93
391,NEW CALEDONIA,2021,11.5,0.0039,-24.37
392,NEW ZEALAND,2021,486.25,0.1666,28.45
393,NICARAGUA,2021,89.67,0.0307,36.87
394,NIGER,2021,87.03,0.0298,18.26
395,NIGERIA,2021,3134.89,1.0743,-13.16
396,NIUE IS,2021,0.0,0.0,-95.85
397,NORFOLK IS,2021,0.22,0.0001,-35.19
398,NORWAY,2021,322.48,0.1105,-23.51
399,OMAN,2021,2355.3,0.8071,4.13
400,PAKISTAN IR,2021,326.87,0.112,-59.97
401,PALAU,2021,0.21,0.0001,295.01
402,PANAMA C Z,2021,0.0,,
403,PANAMA REPUBLIC,2021,151.88,0.052,-36.32
404,PAPUA N GNA,2021,56.17,0.0193,0.28
405,PARAGUAY,2021,160.81,0.0551,26.66
406,PERU,2021,764.69,0.2621,0.09
407,PHILIPPINES,2021,1457.3,0.4994,-4.5
408,PITCAIRN IS.,2021,0.12,0.0,411.93
409,POLAND,2021,1652.67,0.5664,6.75
410,PORTUGAL,2021,837.14,0.2869,12.4
411,PUERTO RICO,2021,156.21,0.0535,16.19
412,QATAR,2021,1284.82,0.4403,1.3
413,REUNION,2021,43.86,0.015,9.23
414,ROMANIA,2021,371.84,0.1274,1.35
415,RUSSIA,2021,2655.52,0.91,-12.0
416,RWANDA,2021,134.29,0.046,8.26
417,SAHARWI A.DM RP,2021,0.04,0.0,1101.26
418,SAMOA,2021,2.71,0.0009,-36.33
419,SAN MARINO,2021,0.25,0.0001,3.28
420,SAO TOME,2021,1.96,0.0007,30.75
421,SAUDI ARAB,2021,5856.61,2.007,-6.1
422,SENEGAL,2021,699.1,0.2396,46.53
423,SERBIA,2021,90.77,0.0311,8.48
424,SEYCHELLES,2021,55.08,0.0189,-17.35
425,SIERRA LEONE,2021,152.11,0.0521,31.84
426,SINGAPORE,2021,8675.5,2.973,-2.77
427,SINT MAARTEN (DUTCH PART),2021,0.0,0.0,-97.93
428,SLOVAK REP,2021,155.97,0.0534,12.68
429,SLOVENIA,2021,354.78,0.1216,6.68
430,SOLOMON IS,2021,1.65,0.0006,-18.96
431,SOMALIA,2021,554.45,0.19,-5.04
432,SOUTH AFRICA,2021,3934.2,1.3482,-4.23
433,SOUTH SUDAN,2021,22.91,0.0079,14.27
434,SPAIN,2021,3238.52,1.1098,-17.92
435,SRI LANKA DSR,2021,3498.23,1.1988,-7.96
436,ST HELENA,2021,0.17,0.0001,-48.19
437,ST KITT N A,2021,0.99,0.0003,-61.33
438,ST LUCIA,2021,3.4,0.0012,4.93
439,ST VINCENT,2021,0.63,0.0002,-8.06
440,STATE OF PALEST,2021,2.01,0.0007,84.06
441,SUDAN,2021,1022.33,0.3503,-6.8
442,SURINAME,2021,17.12,0.0059,-44.98
443,SVALLBARD AND J,2021,0.0,,
444,SWAZILAND,2021,24.32,0.0083,30.94
445,SWEDEN,2021,763.84,0.2618,2.06
446,SWITZERLAND,2021,1261.52,0.4323,5.12
447,SYRIA,2021,124.26,0.0426,-22.01
448,TAIWAN,2021,1620.09,0.5552,-3.25
449,TAJIKISTAN,2021,53.45,0.0183,127.39
450,TANZANIA REP,2021,1439.06,0.4932,-17.3
451,THAILAND,2021,4237.59,1.4522,-1.44
452,TIMOR LESTE,2021,25.36,0.0087,300.95
453,TOGO,2021,1547.23,0.5302,48.69
454,TOKELAU IS,2021,0.0,,
455,TONGA,2021,0.85,0.0003,29.0
456,TRINIDAD,2021,74.79,0.0256,-12.12
457,TUNISIA,2021,264.65,0.0907,8.01
458,TURKEY,2021,3952.89,1.3546,-20.46
459,TURKMENISTAN,2021,60.34,0.0207,78.01
460,TURKS C IS,2021,0.13,0.0,-80.49
461,TUVALU,2021,0.0,0.0,43.11
462,U ARAB EMTS,2021,16679.54,5.7159,-42.19
463,U K,2021,8157.56,2.7955,-6.64
464,U S A,2021,51623.14,17.6908,-2.76
465,UGANDA,2021,670.32,0.2297,7.85
466,UKRAINE,2021,450.97,0.1545,-2.77
467,UNION OF SERBIA & MONTENEGRO,2021,0.0,,
468,UNSPECIFIED,2021,733.33,0.2513,-71.21
469,URUGUAY,2021,104.71,0.0359,-29.1
470,US MINOR OUTLYING ISLANDS,2021,0.97,0.0003,143.32
471,UZBEKISTAN,2021,280.07,0.096,55.41
472,VANUATU REP,2021,2.25,0.0008,-6.82
473,VATICAN CITY,2021,0.07,0.0,108.06
474,VENEZUELA,2021,557.1,0.1909,63.99
475,VIETNAM SOC REP,2021,4999.64,1.7133,-1.19
476,VIRGIN IS US,2021,74.97,0.0257,-7.9
477,WALLIS F IS,2021,0.02,0.0,3.77
478,YEMEN REPUBLC,2021,785.54,0.2692,8.91
479,ZAMBIA,2021,268.87,0.0921,8.57
480,ZIMBABWE,2021,175.72,0.0602,9.05
481,AFGHANISTAN,2022,554.47,0.1314,-32.85
482,ALBANIA,2022,55.16,0.0131,17.99
483,ALGERIA,2022,703.25,0.1666,18.24
484,AMERI SAMOA,2022,0.78,0.0002,33.67
485,ANDORRA,2022,0.05,0.0,140.95
486,ANGOLA,2022,452.45,0.1072,74.29
487,ANGUILLA,2022,0.09,0.0,80.4
488,ANTARTICA,2022,0.07,0.0,-92.98
489,ANTIGUA,2022,2.47,0.0006,53.17
490,ARGENTINA,2022,1425.94,0.3379,107.31
491,ARMENIA,2022,27.47,0.0065,-60.66
492,ARUBA,2022,6.22,0.0015,122.49
493,AUSTRALIA,2022,8283.13,1.9628,104.83
494,AUSTRIA,2022,564.32,0.1337,24.55
495,AZERBAIJAN,2022,36.42,0.0086,-28.33
496,BAHAMAS,2022,8.06,0.0019,76.65
497,BAHARAIN IS,2022,899.9,0.2132,70.35
498,BANGLADESH PR,2022,16156.37,3.8285,66.71
499,BARBADOS,2022,16.19,0.0038,45.86
500,BELARUS,2022,65.34,0.0155,4.87
501,BELGIUM,2022,10084.37,2.3896,92.61
502,BELIZE,2022,15.25,0.0036,61.62
503,BENIN,2022,716.41,0.1698,29.04
504,BERMUDA,2022,5.53,0.0013,22.7
505,BHUTAN,2022,885.81,0.2099,26.36
506,BOLIVIA,2022,117.95,0.028,25.04
507,BOSNIA-HRZGOVIN,2022,17.0,0.004,12.69
508,BOTSWANA,2022,278.87,0.0661,61.49
509,BR VIRGN IS,2022,0.36,0.0001,41.51
510,BRAZIL,2022,6488.97,1.5377,52.86
511,BRUNEI,2022,43.16,0.0102,-31.39
512,BULGARIA,2022,247.08,0.0585,45.05
513,BURKINA FASO,2022,196.64,0.0466,-5.4
514,BURUNDI,2022,60.51,0.0143,-5.49
515,C AFRI REP,2022,20.13,0.0048,-15.11
516,CAMBODIA,2022,198.37,0.047,17.47
517,CAMEROON,2022,403.06,0.0955,44.43
518,CANADA,2022,3763.98,0.8919,27.13
519,CAPE VERDE IS,2022,6.27,0.0015,89.43
520,CAYMAN IS,2022,6.63,0.0016,53.48
521,CHAD,2022,52.94,0.0125,-10.62
522,CHILE,2022,1181.92,0.2801,46.82
523,CHINA P RP,2022,21259.79,5.0378,0.34
524,CHRISTMAS IS.,2022,0.01,0.0,
525,COCOS IS,2022,0.0,,
526,COLOMBIA,2022,1376.68,0.3262,59.16
527,COMOROS,2022,23.05,0.0055,26.23
528,CONGO D. REP.,2022,568.17,0.1346,32.03
529,CONGO P REP,2022,161.02,0.0382,46.6
530,COOK IS,2022,0.04,0.0,-43.67
531,COSTA RICA,2022,147.5,0.035,29.52
532,COTE D' IVOIRE,2022,728.62,0.1727,24.35
