,HSCode,Year,Commodity,Vol (Imports),Gowth
108,15,2020,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,9.65,-40.51
109,16,2020,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.09,4.62
110,17,2020,SUGARS AND SUGAR CONFECTIONERY.,3.89,-46.78
111,18,2020,COCOA AND COCOA PREPARATIONS.,0.73,-36.67
112,19,2020,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.5,-52.41
113,20,2020,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",24.71,-27.45
114,21,2020,MISCELLANEOUS EDIBLE PREPARATIONS.,27.42,39.98
115,22,2020,"BEVERAGES, SPIRITS AND VINEGAR.",1.59,-24.87
116,23,2020,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,62.39,-1.62
117,24,2020,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,5.79,1.48
118,25,2020,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",107.33,-22.73
119,26,2020,"ORES, SLAG AND ASH.",42.94,37.75
120,27,2020,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",209.16,-58.71
121,28,2020,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",662.26,-11.31
122,29,2020,ORGANIC CHEMICALS,8974.27,12.59
123,30,2020,PHARMACEUTICAL PRODUCTS,207.56,24.89
124,31,2020,FERTILISERS.,1551.23,-14.81
125,32,2020,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",578.64,1.94
126,33,2020,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",154.8,-8.61
